actual,predicted
stain,minor_crack
stain,major_crack
peeling,minor_crack
spalling,peeling
peeling,plain
minor_crack,plain
stain,minor_crack
algae,peeling
major_crack,algae
peeling,major_crack
peeling,spalling
algae,spalling
algae,major_crack
spalling,algae
plain,spalling
algae,peeling
algae,spalling
spalling,plain
peeling,major_crack
spalling,algae
peeling,major_crack
minor_crack,major_crack
plain,major_crack
minor_crack,major_crack
stain,plain
spalling,minor_crack
plain,stain
algae,algae
peeling,plain
peeling,minor_crack
peeling,major_crack
major_crack,major_crack
algae,spalling
minor_crack,major_crack
peeling,minor_crack
plain,algae
major_crack,algae
minor_crack,spalling
stain,algae
spalling,major_crack
major_crack,spalling
minor_crack,spalling
plain,peeling
algae,minor_crack
stain,minor_crack
major_crack,algae
major_crack,plain
plain,major_crack
minor_crack,spalling
algae,peeling
major_crack,minor_crack
major_crack,peeling
spalling,major_crack
peeling,major_crack
plain,plain
peeling,spalling
algae,algae
spalling,algae
plain,minor_crack
spalling,spalling
peeling,minor_crack
major_crack,spalling
major_crack,peeling
spalling,algae
spalling,major_crack
minor_crack,plain
spalling,minor_crack
stain,major_crack
plain,spalling
major_crack,algae
peeling,plain
plain,algae
spalling,major_crack
minor_crack,algae
peeling,spalling
spalling,major_crack
plain,major_crack
plain,major_crack
stain,peeling
algae,minor_crack
major_crack,algae
spalling,peeling
stain,peeling
stain,major_crack
peeling,minor_crack
algae,plain
peeling,peeling
minor_crack,algae
minor_crack,minor_crack
spalling,peeling
stain,major_crack
plain,minor_crack
stain,major_crack
plain,spalling
plain,minor_crack
plain,spalling
spalling,peeling
plain,major_crack
major_crack,major_crack
major_crack,plain
minor_crack,algae
peeling,minor_crack
plain,major_crack
spalling,peeling
minor_crack,major_crack
major_crack,major_crack
spalling,algae
algae,minor_crack
stain,major_crack
minor_crack,plain
spalling,plain
major_crack,plain
algae,minor_crack
peeling,peeling
spalling,plain
minor_crack,major_crack
peeling,major_crack
spalling,peeling
spalling,algae
stain,major_crack
plain,algae
algae,spalling
major_crack,spalling
peeling,minor_crack
minor_crack,spalling
plain,major_crack
minor_crack,algae
minor_crack,major_crack
algae,major_crack
minor_crack,major_crack
algae,spalling
spalling,minor_crack
peeling,minor_crack
algae,algae
algae,major_crack
minor_crack,major_crack
peeling,spalling
major_crack,peeling
stain,major_crack
peeling,minor_crack
minor_crack,major_crack
major_crack,algae
minor_crack,major_crack
peeling,minor_crack
spalling,plain
algae,spalling
plain,spalling
spalling,plain
major_crack,major_crack
stain,major_crack
spalling,peeling
plain,major_crack
plain,major_crack
stain,spalling
spalling,major_crack
stain,minor_crack
peeling,minor_crack
peeling,peeling
major_crack,major_crack
major_crack,major_crack
major_crack,major_crack
algae,algae
stain,major_crack
plain,major_crack
minor_crack,major_crack
peeling,spalling
spalling,algae
major_crack,algae
major_crack,algae
major_crack,major_crack
stain,major_crack
plain,algae
minor_crack,major_crack
spalling,minor_crack
spalling,algae
peeling,minor_crack
major_crack,plain
minor_crack,major_crack
algae,major_crack
major_crack,minor_crack
stain,plain
minor_crack,plain
peeling,spalling
peeling,algae
algae,plain
spalling,algae
stain,spalling
spalling,algae
spalling,spalling
spalling,minor_crack
plain,major_crack
plain,spalling
major_crack,algae
major_crack,peeling
plain,major_crack
major_crack,major_crack
major_crack,algae
plain,major_crack
peeling,minor_crack
peeling,peeling
plain,major_crack
minor_crack,major_crack
major_crack,plain
minor_crack,major_crack
algae,spalling
peeling,peeling
stain,major_crack
spalling,major_crack
stain,peeling
peeling,minor_crack
minor_crack,minor_crack
peeling,minor_crack
stain,major_crack
minor_crack,plain
minor_crack,minor_crack
stain,algae
minor_crack,minor_crack
plain,spalling
plain,algae
spalling,algae
stain,peeling
major_crack,plain
spalling,peeling
algae,algae
spalling,spalling
plain,major_crack
spalling,peeling
algae,spalling
major_crack,major_crack
plain,spalling
stain,peeling
stain,major_crack
algae,algae
major_crack,peeling
peeling,minor_crack
major_crack,major_crack
stain,plain
peeling,algae
algae,algae
minor_crack,major_crack
minor_crack,minor_crack
major_crack,algae
algae,major_crack
spalling,minor_crack
algae,major_crack
minor_crack,plain
stain,major_crack
spalling,spalling
algae,algae
plain,minor_crack
spalling,algae
minor_crack,major_crack
peeling,major_crack
stain,minor_crack
major_crack,plain
major_crack,algae
stain,peeling
minor_crack,major_crack
plain,major_crack
algae,major_crack
major_crack,algae
stain,major_crack
stain,minor_crack
major_crack,plain
spalling,algae
minor_crack,spalling
peeling,plain
spalling,major_crack
algae,algae
peeling,peeling
stain,algae
algae,spalling
plain,major_crack
major_crack,major_crack
algae,major_crack
minor_crack,peeling
peeling,major_crack
stain,major_crack
peeling,minor_crack
plain,major_crack
plain,algae
algae,algae
stain,algae
algae,peeling
algae,major_crack
major_crack,major_crack
plain,major_crack
algae,algae
minor_crack,major_crack
major_crack,minor_crack
minor_crack,major_crack
spalling,plain
minor_crack,algae
minor_crack,major_crack
algae,algae
major_crack,plain
peeling,minor_crack
plain,major_crack
major_crack,major_crack
peeling,minor_crack
algae,plain
stain,stain
minor_crack,algae
stain,major_crack
spalling,plain
spalling,plain
algae,plain
stain,spalling
algae,spalling
peeling,minor_crack
spalling,minor_crack
minor_crack,spalling
minor_crack,major_crack
peeling,minor_crack
peeling,minor_crack
algae,major_crack
major_crack,plain
algae,spalling
peeling,major_crack
stain,spalling
peeling,minor_crack
minor_crack,plain
plain,major_crack
peeling,minor_crack
spalling,spalling
stain,major_crack
algae,spalling
algae,major_crack
peeling,peeling
peeling,major_crack
major_crack,peeling
spalling,major_crack
minor_crack,major_crack
peeling,minor_crack
major_crack,algae
algae,algae
plain,major_crack
algae,peeling
stain,minor_crack
stain,stain
plain,major_crack
spalling,minor_crack
plain,algae
spalling,plain
peeling,spalling
minor_crack,plain
plain,major_crack
major_crack,major_crack
spalling,algae
major_crack,algae
stain,peeling
peeling,major_crack
peeling,peeling
plain,algae
minor_crack,major_crack
peeling,spalling
peeling,major_crack
spalling,plain
minor_crack,major_crack
stain,minor_crack
plain,major_crack
stain,peeling
plain,major_crack
major_crack,algae
major_crack,algae
minor_crack,major_crack
major_crack,plain
algae,spalling
stain,peeling
minor_crack,major_crack
peeling,peeling
major_crack,peeling
minor_crack,major_crack
minor_crack,major_crack
plain,minor_crack
minor_crack,major_crack
peeling,peeling
minor_crack,major_crack
algae,major_crack
minor_crack,minor_crack
algae,algae
spalling,major_crack
stain,major_crack
plain,peeling
algae,algae
peeling,spalling
peeling,minor_crack
major_crack,algae
peeling,minor_crack
major_crack,plain
spalling,peeling
major_crack,major_crack
spalling,algae
minor_crack,spalling
spalling,peeling
spalling,algae
minor_crack,major_crack
minor_crack,major_crack
algae,major_crack
stain,plain
stain,major_crack
algae,major_crack
algae,major_crack
algae,algae
major_crack,major_crack
major_crack,major_crack
stain,major_crack
minor_crack,major_crack
major_crack,algae
plain,minor_crack
algae,plain
spalling,peeling
minor_crack,peeling
minor_crack,plain
stain,major_crack
algae,peeling
plain,minor_crack
algae,spalling
stain,minor_crack
major_crack,spalling
stain,major_crack
algae,algae
minor_crack,major_crack
algae,algae
algae,major_crack
major_crack,minor_crack
algae,major_crack
peeling,major_crack
algae,algae
plain,algae
spalling,algae
algae,algae
plain,major_crack
minor_crack,plain
peeling,spalling
minor_crack,algae
stain,peeling
peeling,spalling
plain,major_crack
minor_crack,peeling
spalling,spalling
algae,minor_crack
stain,peeling
stain,spalling
peeling,minor_crack
plain,spalling
peeling,algae
peeling,spalling
major_crack,algae
minor_crack,major_crack
peeling,plain
spalling,algae
plain,spalling
stain,major_crack
spalling,plain
major_crack,plain
spalling,major_crack
spalling,algae
major_crack,peeling
stain,major_crack
peeling,major_crack
plain,major_crack
algae,major_crack
major_crack,plain
peeling,major_crack
major_crack,major_crack
stain,major_crack
minor_crack,algae
stain,major_crack
plain,major_crack
minor_crack,algae
minor_crack,algae
algae,algae
peeling,major_crack
stain,major_crack
peeling,minor_crack
algae,algae
stain,stain
major_crack,stain
peeling,major_crack
algae,spalling
algae,spalling
stain,plain
plain,major_crack
minor_crack,major_crack
peeling,peeling
peeling,plain
plain,major_crack
peeling,minor_crack
major_crack,algae
minor_crack,plain
plain,spalling
peeling,peeling
minor_crack,major_crack
peeling,peeling
minor_crack,algae
peeling,minor_crack
spalling,major_crack
spalling,algae
minor_crack,major_crack
minor_crack,major_crack
peeling,major_crack
spalling,major_crack
spalling,algae
minor_crack,spalling
algae,algae
algae,peeling
peeling,algae
algae,spalling
major_crack,major_crack
algae,algae
spalling,major_crack
minor_crack,minor_crack
spalling,minor_crack
minor_crack,major_crack
plain,spalling
spalling,algae
stain,major_crack
plain,major_crack
plain,major_crack
spalling,major_crack
major_crack,major_crack
major_crack,peeling
spalling,algae
major_crack,plain
algae,algae
minor_crack,major_crack
major_crack,major_crack
algae,major_crack
stain,spalling
stain,major_crack
peeling,plain
minor_crack,algae
plain,algae
plain,algae
minor_crack,peeling
peeling,minor_crack
plain,major_crack
peeling,peeling
algae,peeling
major_crack,minor_crack
major_crack,major_crack
algae,spalling
minor_crack,algae
plain,algae
peeling,major_crack
minor_crack,major_crack
plain,algae
peeling,spalling
stain,minor_crack
stain,algae
plain,algae
stain,peeling
major_crack,spalling
plain,major_crack
stain,major_crack
plain,spalling
stain,algae
stain,minor_crack
peeling,plain
peeling,plain
algae,plain
major_crack,major_crack
stain,minor_crack
peeling,plain
spalling,algae
stain,peeling
plain,major_crack
spalling,plain
plain,major_crack
algae,spalling
spalling,peeling
stain,plain
plain,major_crack
major_crack,major_crack
stain,major_crack
peeling,major_crack
major_crack,algae
plain,major_crack
minor_crack,minor_crack
algae,plain
plain,major_crack
peeling,major_crack
minor_crack,major_crack
algae,spalling
plain,spalling
minor_crack,major_crack
peeling,minor_crack
major_crack,peeling
spalling,peeling
minor_crack,minor_crack
minor_crack,peeling
algae,major_crack
plain,spalling
stain,minor_crack
algae,plain
spalling,peeling
stain,plain
stain,major_crack
plain,algae
minor_crack,major_crack
plain,spalling
spalling,major_crack
major_crack,spalling
major_crack,algae
plain,spalling
major_crack,algae
major_crack,peeling
stain,plain
algae,major_crack
minor_crack,major_crack
spalling,plain
major_crack,algae
major_crack,algae
spalling,major_crack
major_crack,spalling
major_crack,algae
stain,algae
minor_crack,spalling
plain,major_crack
peeling,plain
peeling,plain
spalling,spalling
peeling,minor_crack
minor_crack,major_crack
algae,plain
peeling,major_crack
major_crack,major_crack
minor_crack,major_crack
algae,minor_crack
stain,minor_crack
major_crack,plain
spalling,algae
plain,major_crack
spalling,plain
plain,algae
minor_crack,plain
major_crack,spalling
plain,minor_crack
plain,major_crack
minor_crack,plain
algae,major_crack
peeling,peeling
stain,major_crack
spalling,algae
plain,spalling
peeling,minor_crack
plain,major_crack
major_crack,algae
plain,major_crack
major_crack,plain
stain,algae
minor_crack,major_crack
spalling,major_crack
peeling,major_crack
algae,spalling
peeling,spalling
stain,peeling
minor_crack,peeling
plain,minor_crack
major_crack,algae
algae,major_crack
minor_crack,major_crack
peeling,plain
peeling,minor_crack
peeling,algae
major_crack,major_crack
minor_crack,major_crack
major_crack,major_crack
stain,peeling
major_crack,major_crack
plain,spalling
peeling,peeling
plain,major_crack
peeling,algae
plain,algae
plain,algae
spalling,minor_crack
stain,major_crack
spalling,major_crack
spalling,spalling
stain,spalling
algae,algae
major_crack,major_crack
plain,major_crack
spalling,minor_crack
peeling,plain
algae,spalling
stain,major_crack
minor_crack,algae
algae,major_crack
plain,major_crack
minor_crack,minor_crack
peeling,spalling
plain,peeling
peeling,minor_crack
spalling,spalling
spalling,plain
peeling,major_crack
spalling,major_crack
minor_crack,major_crack
minor_crack,minor_crack
spalling,peeling
algae,minor_crack
algae,stain
peeling,major_crack
major_crack,algae
spalling,plain
stain,minor_crack
algae,stain
algae,algae
major_crack,major_crack
minor_crack,algae
peeling,minor_crack
peeling,peeling
algae,algae
stain,major_crack
